ENSG00000004059	ARF5,gtpase activity,retrograde vesicle-mediated transport,protein binding,intracellular protein transport,golgi to endoplasmic reticulum transport,plasma membrane localization
ENSG00000133067	LGR6,g protein-coupled receptor activity,protein-hormone receptor activity,heparin binding,transmembrane signaling receptor activity,wnt signaling pathway,roundabout binding
ENSG00000055208	TAB2,molecular adaptor activity,zinc ion binding,protein binding,ubiquitin binding,metal ion binding,non-canonical nf-kappab signal transduction
ENSG00000146414	SHPRH,ubiquitin-protein transferase activity,atp binding,helicase activity,protein polyubiquitination,nucleosome assembly,dna repair
ENSG00000112425	EPM2A,protein phosphatase activity,histone h2axs140 phosphatase activity,macroautophagy regulation,negative cell cycle regulation,glucan metabolic process,carbohydrate phosphorylation
ENSG00000009844	VTA1,vesicle trafficking 1 activity,macroautophagy,escrt iii complex disassembly,multivesicular body assembly,late endosome to vacuole transport,multivesicular body sorting pathway
ENSG00000143207	COP1,ubiquitination activity,ring-type e3 ubiquitin ligase function,proteasomal protein degradation,response to ionizing radiation,cytoplasmic localization,nucleus-localization
ENSG00000143258	USP21,deubiquitinating enzyme activity,chromatin organization,transcription regulation,protein binding,metal ion binding,cysteine-type peptidase activity
ENSG00000158769	F11R,integrin binding,protein binding,pdz domain binding,virus receptor activity,cellular response to mechanical stimulus,cellular adhesion
ENSG00000152894	PTPRK,receptor-type tyrosine-protein phosphatase activity,non-membrane spanning protein tyrosine phosphatase activity,adherens junction regulation,celi-cell interaction modulation,chromatin remodeling,metal-dependent protein tyrosine phosphatase activity
ENSG00000118518	RNF146,ubiquitin-protein transferase activity,ubiquitin protein ligase activity,poly-adp-d-ribose binding,wnt signaling pathway,protein k48-linked ubiquitination,plasma membrane localization
ENSG00000153975	ZUP1,deubiquitination activity,metal ion binding,hydrolase activity,protein binding,cysteine-type deubiquitinase activity,nucleoplasm localization
ENSG00000159352	PSMD4,proteasome assembly,ubiquitin-dependent protein degradation,rna binding,protein binding,cellular response to stress,protein homeostasis regulation
ENSG00000203797	DDO,d-aspartate oxidase activity,fad binding,oxidoreductase activity,d-amino acid metabolic process,aspartate metabolic process,cytosol localization
ENSG00000184678	H2BC21,histone modification,nucleosome assembly,antibacterial humoral response,dna binding,protein heterodimerization activity,structural constituent of chromatin
ENSG00000203811	H3C14,histone variant modification,chromatin remodeling,epigenetic regulation,transcriptional control,cell growth and proliferation,histone dynamics
ENSG00000278828	H3C10,histone modification regulation,nucleosome assembly,dna damage response regulation,chromatin structure maintenance,genome stability regulation,cellular replication control
ENSG00000112234	FBXL4,scf-dependent proteasomal ubiquitin-dependent protein catabolic process,autophagy of mitochondrion,mitochondrial quality control,protein binding,ubiquitin ligase complex localization,nuclear speck formation
ENSG00000014123	UFL1,dna damage response,dna repair,regulation of gene expression,autophagy,proteasomal protein catabolism,cytoplasmic localization
ENSG00000135341	MAP3K7,mitogen-activated protein kinase kinase kinase activity,protein serine/threonine kinase activity,trif-dependent toll-like receptor signaling pathway,inflammation response,immune response,apoptotic process
ENSG00000185515	BRCC3,k63-linked deubiquitinase activity,metal-dependent deubiquitinase activity,cysteine-type deubiquitinase activity,dna repair response to ionizing radiation,double-strand break repair,chromatin organization
ENSG00000118655	DCLRE1B,dna repair activity,telomere lengthening,double-strand break repair,nucleus localization,telomere capping,5'-3' exonuclease activity
ENSG00000118420	UBE3D,e3 ubiquitin-protein ligase activity,ubiquitin conjugating enzyme binding,protein polyubiquitination,proteasome-mediated ubiquitin-dependent protein catabolic process,cell cycle regulation,apoptosis
ENSG00000107954	NEURL1,e3 ubiquitin-protein ligase activity,ubiquitination regulation,notch signaling pathway regulation,synapse maturation regulation,dendritic spine development regulation,protein binding activity
ENSG00000214357	NEURL1B,ubiquitin-protein ligase activity,metal ion binding,transferase activity,protein ubiquitination,notch signaling pathway,ubiquitin-dependent endocytosis
ENSG00000077150	NFKB2,transcription activator activity,dna-binding transcription factor activity,canonical nf-kappab signal transduction,regulation of gene expression,inflammation response,immune response
ENSG00000196586	MYO6,calmodulin binding activity,cytoskeletal motor activity,intracellular protein transport,auditory receptor cell differentiation,actin filament organization,dna damage response
ENSG00000184216	IRAK1,histone kinase activity,nf-kappab signaling,toll-like receptor signaling,cytokine regulation,innate immunity,jnk pathway activation
ENSG00000107829	FBXW4,protein binding,positive regulation of mesenchymal cell proliferation,cartilage development,limb development,wnt signaling pathway,ubiquitin-dependent protein catabolic process
ENSG00000166167	BTRC,ubiquitin ligase activator activity,ligase activity,protein binding,ubiquitin protein ligase activity,scf-dependent proteasomal ubiquitin-dependent protein catabolic process,regulation of cell cycle
ENSG00000174842	GLMN,cell proliferation regulation,signaling receptor binding,ubiquitination process regulation,circulatory system development,muscle cell differentiation,negative regulation of t cell proliferation
ENSG00000213341	CHUK,protein kinase activity,protein serine/threonine kinase activity,atp binding,scaffold protein binding,ikappab kinase activity,inflammatory response
ENSG00000142867	BCL10,apoptosis regulation,immune response modulation,nf-kappab signaling pathway,card domain binding,protein-macromolecule adaptor activity,innate immune response
ENSG00000077254	USP33,deubiquitinating enzyme activity,g protein-coupled receptor binding,ubiquitin binding,protein deubiquitination,cell migration,regulation of g protein-coupled receptor signaling pathway
ENSG00000101182	PSMA7,proteasome subunit complex activity,protein binding,ubiquitin-dependent protein catabolic process,proteolysis involved in protein catabolic process,alpha-subunit complex formation,cytosol localization
ENSG00000177414	UBE2U,ubiquitin conjugating enzyme activity,ubiquitin-like protein transferase activity,protein modification by small protein conjugation,protein ubiquitination,cytosol localization,atp binding
ENSG00000124256	ZBP1,dna damage response,rna binding activity,innate immune response,pyroptotic inflammatory response,apoptic process regulation,dna binding
ENSG00000101966	XIAP,cysteine-type endopeptidase inhibitor activity,ubiquitin-protein transferase activity,regulation of apoptosis involved in tissue homeostasis,inhibition of cysteine-type endopeptidase activity,protein binding,metal ion binding
ENSG00000116171	SCP2,propanoyl-coa c-acyltransferase activity,lipid binding,lipid metabolic process,fatty acid beta-oxidation,intracellular cholesterol transport,bile acid biosynthetic process
ENSG00000077721	UBE2A,ubiquitin conjugating enzyme activity,ubiquitin-protein transferase activity,dna repair,mitophagy,chromatin organization,proteasome-mediated protein catabolism
ENSG00000107854	TNKS2,nad+-protein poly-adp-ribosyltransferase activity,nucleotidyltransferase activity,protein binding,telomere maintenance via telomerase,wnt signaling pathway regulation,telomeric region localization
ENSG00000130560	UBAC1,proteasome binding,polyubiquitin modification-dependent protein binding,protein maturation,ubiquitination,plasma membrane localization,ubiquitin ligase complex interaction
ENSG00000138134	STAMBPL1,k63-linked deubiquitinase activity,metal-dependent deubiquitinase activity,protein binding,metal ion binding,positive regulation of torc1 signaling,endosome localization
ENSG00000126107	HECTD3,e3 ubiquitin-protein ligase activity,ubiquitin-protein transferase activity,proteasome-mediated ubiquitin-dependent protein catabolic process,protein ubiquitination,syntaxin binding,perinuclear region of cytoplasm localization
ENSG00000170734	POLH,dna polymerase activity,error-prone translesion synthesis,pyrimidine dimer repair,postreplication repair,dna binding,damage response
ENSG00000157514	TSC22D3,transcriptional regulation,osmotic stress response,activation-induced cell death,protein-protein interactions,cytoplasmic localization,nuclear presence
ENSG00000066135	KDM4A,histone demethylase activity,histone h3k9/h3k36 demethylation,chromatin remodeling,regulation of gene expression,autophagy suppression,nucleus localization
ENSG00000127124	HIVEP3,transcriptional regulation,rna polymerase ii binding,metal ion binding,sequence-specific dna binding,nucleus localization,dysregulation of skeletal muscle cell differentiation
ENSG00000024048	UBR2,l-leucine binding,ubiquitin protein ligase activity,histone h2a ubiquitin ligase activity,male meiotic nuclear division,spermatogenesis,negative regulation of tor signaling
ENSG00000126070	AGO3,mirna binding,endonuclease activity,double-stranded rna binding,rna-induced silencing complex assembly,regulatory ncrna-mediated gene silencing,microrna processing
ENSG00000092847	AGO1,mirna binding,rna endonuclease activity,double-stranded rna binding,regulatory ncrna-mediated post-transcriptional gene silencing,negative regulation of angiogenesis,translation regulation
ENSG00000134698	AGO4,microrna binding,rna-induced silencing complex assembly,double-stranded rna binding,regulatory ncrna-mediated gene silencing,negative regulation of apoptotic process,mirna metabolic process
ENSG00000126067	PSMB2,proteasome-mediated ubiquitin-dependent protein catabolic process,proteolysis involved in protein catabolic process,proteasomal protein catabolic process,response to organic cyclic compound,protein binding,nucleoplasm localization
ENSG00000116514	RNF19B,ubiquitin-protein transferase activity,ubiquitin conjugating enzyme binding,adaptive immune response,natural killer cell-mediated cytotoxicity,protein autoubiquitination,endoplasmic reticulum localization
ENSG00000112130	RNF8,dna repair activity,chromatin organization,e3 ubiquitin transferase activity,protein k63-linked ubiquitination,histone binding,dna damage response
